,cleaned_body,pos_score,neu_score,neg_score,compound_score,rating,cs_scaled,sentiment
66,uncomfortable seat hardly recline,0.0,0.536,0.464,-0.3818,0.2,0.30256565963260973,negative
70,ridiculous space leg slim woman huuuge issue amount space take long get aircraft people literally squeeze make everyone angry flight every little movement passenger front felt like chair snap fall chair cheap actually believe amount space allowed give never gonna fly,0.054,0.821,0.125,-0.5106,0.1,0.23738677192449772,negative
72,economy class seat standard short flight almost known low cost company high hard nap flight stay comfy seat width fine slim customer little bigger start hard,0.063,0.774,0.163,-0.2075,0.5,0.3907696978897829,negative
77,complaint jet use seating policy virtually force passenger pay seating wife travelling italy way allocated seat row opposite aisle way back wife seated row happened u using airline including budget airline like easyjet ryanair bmi baby contacted jet complain option thay gave pay,0.053,0.787,0.16,-0.4588,0.2,0.2636000202418906,negative
78,jet boeing plus point plenty legroom seat recline cup holder minus point seat hard flight le hour much problem,0.0,0.806,0.194,-0.4767,0.5,0.2545417742017104,negative
81,newcastle palma boeing seat front row seat give leg room could entertainment catering bad price seat could cushion foam got hard hot two hour overall mid score right return old boeing engine fault meant three hour delay aircraft year old sat seat window okay leg room seat lacked seat cushion padding staff flight good,0.118,0.729,0.153,-0.3182,0.4,0.33475026567481403,negative
82,spent hour flight bodrum manchester uncomfortable seat ever hard plastic recline limited leg room never ever,0.0,0.688,0.312,-0.5994,0.1,0.19244977480896713,negative
84,economy class seat bad like arrangement entertainment feature great big complaint passenger sitting front refused put seat meal service thus unable eat meal flight attendant told company policy disturb anyone sleeping even meal service make sense made part trip uncomfortable,0.172,0.586,0.242,-0.4215,0.7,0.2824755832194727,negative
96,boeing seat almost low cost airline comfortable enough especially forward seat emergency exit seat,0.174,0.58,0.246,-0.0953,1.0,0.4475482010019736,negative
101,china southern airline absolute nightmare flight sydney guangzhou redirected hainan due bad weather guangzhou allowed plane wait hour weather cleared even though connecting flight took hour finally arrived guangzhou think overbooked flight ration food drink stock limited finally arrived guangzhou spent aud lounge airport wait another hour new flight put u minh exhausted wanted sleep shower eat airline provide facility food stopover delay sister missed full day minh hour delay flight back home hanoi guangzhou causing u miss connecting flight sydney created absolute chaos wait queue guangzhou airport pm hundred passenger missed connecting flight hour finally announced flight back australia night would process everyone day visa provide accomodation night time processed told needed back airport order queue put standby flight back australia ended staying airport night entirely unprepared airport freezing cold summer clothes chinese yuan pay tea morning australian debit card gave u terrible exchange rate free clean drinking water airport wait another hour queue told seat available flight back australia st may th april original flight meant th april china southern customer service terrible barely communication parent child waiting queue people access internet china block access people without wechat refund flight airline offered expected back airport accommodation everyday get another day visa flight opened sister decided make way back home took day total affordable option home hong kong singapore gold coast aud pocket due booking new flight expense meal water data roaming taxi fare exhausted came cold due chilly air conditioned airport extra day annual leave hopefully travel insurance cover u plenty people travel insurance internet may still waiting guangzhou flight back australia today never fly china southern,0.049,0.822,0.129,-0.9621,0.1,0.008906431860735824,negative
112,inflight staff flight excellent service professional however cannot said china southern administration route flight guangzhou rome changed direct flight guangzhou rome additional domestic leg within china meant flew guangzhou wuhan rome official notification email opt change sent flight brisbane guangzhou effect made decision changed flight impossible consequently arrival guangzhou normal transit situation international sector became horrific nightmare involving moving many level additional security added domestic leg passport taken away given chinese person chinese ethnicity lost period time need try find passport loss purchased duty free item abuse ground staff dreadful flying experience life believe email sent first leg flight incredibly cynical exercise china southern airline deceiving customer disgusting attempt lie passenger flight change flown satisfactorily china southern past unless remediation occurs airline paying consumer never fly consumer beware customer beware flight staff excellent,0.098,0.748,0.154,-0.8439,0.1,0.0687212185618137,negative
117,boeing seat narrow tight make matter worse crammed close row ahead average sized knee seat front aisle seat bashed trolley people passing comparison boeing spacious,0.04,0.846,0.114,-0.4588,0.1,0.2636000202418906,negative
118,entire seating room plenty leg room suitable tall person taller cm connectivity port available convenient head rest bit hard help preventing head movement sleeping thing mention screen angle adjustable front passenger decided change seat angle viewing angle screen get uncomfortable,0.062,0.822,0.116,-0.1027,1.0,0.44380345124234605,negative
123,business class product awful selection food given bland pasta despite gluten intolerance cabin ac faulty stuck lowest setting cabin crew best could customer service response pathetic,0.111,0.529,0.36,-0.8126,0.1,0.08456049795050859,negative
125,done online check economy seat fairly forward boarding gate paris changed seat somewhere back plane width narrow seat small rigid guy front reclined seat felt claustrophobic sake entertainment hr plus flight delayed hr tiny screen little content malfunctioning headphone audio ear high expectation worst experience,0.055,0.799,0.146,-0.5719,0.1,0.20636607459136685,negative
126,paris boeing enter cabin get thrown back good way entertainment system old couple movie screen barely bigger phone terrible quality need navigate using bulky remote plug charge phone seat almost recline quite narrow worst part air france make pay select certain seat front section seat emergency seat etc price go chf seat leg air france ashamed offer cabin price new cabin,0.104,0.706,0.191,-0.759,0.2,0.11168463134456759,negative
127,paris amman business class seat nothing economy class seat difference two class leg room minimally reclinable felt cramped could sleep separate economy class seat business class seat curtain label business class relief least provided business class service term meal etc otherwise could disaster,0.064,0.851,0.085,-0.25,0.1,0.36926268913516525,negative
128,flew san francisco paris flight business class seat disappointing flown mulitple airline business class similar endure year ago seat angled flat full recline seat feel like sliding downward usually sleep flat bed hr comfortably sleep possible made worst business class experience,0.107,0.746,0.147,-0.4588,0.2,0.2636000202418906,negative
129,worst business class long haul flight ever even know long haul business class flight came formation reclining seatsinstead bed seat lay flat slide trying sleep great people back problem hardly space chair stranger climbing every time get felt like premium economy seat business class price complained afterwards completely ignored air france,0.104,0.707,0.19,-0.6697,0.4,0.15687465209250548,negative
131,believe paid extra premium economy seat vacation wife flying nyc jfk paris seat recline kind slide forward little essentially functional recline uncomfortable overnight seat ever flown including coach saying something fly lot would rather tried coach seat could worse disappointed seat engineering horrible nothing remember way back day flying air france coach impressed coffee food quality premium economy time tasted like instant powdered coffee,0.115,0.728,0.157,-0.5106,0.3,0.23738677192449772,negative
133,must new seat uncomfortable hr flight reclines leg rest allows calf muscle rest horrible thinking twice flying economy might save money comfort probably,0.185,0.617,0.198,-0.1027,0.2,0.44380345124234605,negative
134,fly paulo via cdg economy back premium economy could recommend extra premium seat uncomfortable despite different plane past experience always negative seat designed someone never sat hour practically recline economy seat better food different service indifferent premium located towards front toilet next cabin back chance using business due ever vigilant crew appeared serve food little else flight delayed hour causing missed connection etc ever increasing problem third occasion since start year movie choice dominated french film little new release change outward leg,0.095,0.752,0.153,-0.6743,0.3,0.1545468346743586,negative
137,returning european honeymoon paid extra duo seat back premium economy cabin enjoy bit quiet time flight cdg bos unknown fact air france cancelled reservation reason never fully explained spent hour nce agent trying get seat flight home begged agent upgrade u business class refused air france assigned u seat telling u would happy never explained seat seat row sneaky tell u paid arm seat fixed position suffered indignity seat back kick brat mommy got original seat still confused assigned new seat suffer instead air france refused grant u consideration refund credit terrible experience new wife exchanging hash word,0.125,0.697,0.178,-0.6249,0.1,0.17954556955619655,negative
140,used fly air france home airline last hour flight singapore paris really upset discomfort seat appeared relatively new though boeing cabin layout hour flight let imagine packed able move muscle neighbor sleeping half time place go exercise bit avoid health issue moving alors corridor without waking passenger nearly impossible size,0.0,0.852,0.148,-0.8004,0.1,0.0907342745812459,negative
142,flew air france paris cdg bogota hour flight fairly uncomfortable due economy seat provided air france tall leg room minimal left airplane severe knee ache due able barely stretch leg hope air france improve seat near future,0.122,0.706,0.172,-0.3102,0.5,0.3387986437933303,negative
144,wife flew detroit rome stop paris cdg air france premium economy seat worst making transatlantic flight clamshell design hard extremely uncomfortable real recline weak excuse leg support traded return ticket economy pitched huge fit inconvenience discomfort lack cooperation returning money finally gave ticket travel voucher,0.14,0.525,0.335,-0.9061,0.1,0.03724507869034968,negative
152,business class horrid seat ever sat seat capsule huge issue recline whole thing slide put painful awkward position could imagine horrendous time wait get plane suffered back pain day honestly would comfortable economy saved heap money,0.205,0.467,0.329,-0.7845,0.1,0.09878042609179699,negative
154,air france seat uncomfortable first likely long haul flight air france year seat cushion stiff hard long flight leg butt start feeling numb hour impossible sleep get move around find literally space either aisle extremely narrow back plane allows maximum people standing hour flight almost felt like eternity,0.07,0.809,0.12,-0.3976,0.2,0.29457011284854007,negative
155,flew air france boeing toronto bangalore via paris flight paris window middle seat aisle seat vacant made flight much pleasant able get wanted paris bangalore flight purchased seat additional seemed waste since one paid people sitting middle row moved seat return chose purchase seat unfortunately return flight full stuck sitting window middle seat little tight harder get person aisle always sleeping seat comfort terrible matter airline fly put extra pillow bottom comfort,0.112,0.765,0.123,-0.2263,0.8,0.38125600931126974,negative
159,narrowest seat traveled hard result near impossible sleep becomes painful two hour flight frequent position change way accomodate pain air france cram seat abreast seat boeing like emirate etc clearly perceptible seat armrest width even aisle hard navigate bag,0.11,0.699,0.191,-0.4215,0.2,0.2824755832194727,negative
162,seat shell type setting recline move downwards versus recline seat hard uncomfortable foot rest help leave aircraft lower back pain seat positioning awful leg room fine upright lower seat forget body mechanic prevent type comfort,0.166,0.47,0.364,-0.8271,0.3,0.07722281261069787,negative
164,air france premium economy seat dreadful slide recline probably like reviewer aching back day lucky get sleep offer comfort whatsoever suffered seat eleven hour flight partner much shorter found seat dreadful earth thinking air france offer ridiculous seat much money premium economy exactly better experience room comfort premium version economy get,0.192,0.595,0.213,-0.3612,0.1,0.31299023328778913,negative
166,design capsule seat recline slide fixed position gain comfort shift lose leg room capsule move available leg room issue inadequate toilet wait time minute longer line passenger grows wait becomes painful thing like place put coat lack adequate toilet facility rediculat expensive capsule seat premium economy make costly uncomfortable option,0.159,0.616,0.225,-0.5106,0.3,0.23738677192449772,negative
169,lax cdg hell seat recline forcing weight body rest bottom leg rest painful small poor design thigh support high enough touch thigh making worthless return flight put carry seat front front used foot rest would rather seat reclined deal seat front intruding space premium economy seat share bathroom economy making long wait,0.076,0.714,0.21,-0.8625,0.1,0.05930873943626333,negative
173,flew cdg sgl eze cdg torture unbelievable unfortunately uncomfortable seat sat long haul flight seat look good website first looking air france make premium economy real additional class fewer seat row seat designed real isolated private space quite lot legroom unfortunately design seat outright disaster seat area way short even short people seat hardly reclines footrest leaf foot awkward cramped position happen extremely short shorter cm like however using footrest foot dangling mid air leg rest swing since seat short hardly support anything seat disaster overnight long haul flight air france feel ashamed charging extra seat peanut u almost double compared economy class fare,0.076,0.714,0.21,-0.9509,0.1,0.014574161226658595,negative
174,decent legroom uncomfortable high hope first flight large modern aircraft recline almost existent really understand tv screen could badly designed average height guy around see screen properly seat front reclined anyone shorter would see nothing designed thing,0.068,0.798,0.134,-0.4215,0.6,0.2824755832194727,negative
175,unfortunately uncomfortable seat ever sat long haul flight seat look good website well first looking real air france make premium economy real additional class fewer seat row opposed video screen much larger better headphone economy seat designed real isolated private space quite lot legroom unfortunately design seat outright disaster seat area way short even normal sized people seat hardly recline footrest leaf foot awkward cramped position happen small however using footrest feat dangling mid air leg rest swing since seat short hardly support anything whole seat design feel strangely like business class seat small child legroom good entertainment system private space seat probably option day flight seating comfort matter much overnight long haul disaster,0.157,0.689,0.154,-0.1513,0.2,0.4192095541723597,negative
176,seat number last row particular section meaning almost recline legroom old upholstery uncomfortable european carrier asian airline booked another seat booking,0.057,0.83,0.114,-0.3182,0.1,0.33475026567481403,negative
179,ptv screen even aligned seat water almost never served even asked glass water request seems forgotten return flight got canceled thanks famous air france strike accessible customer service follow heard back refund even though written first last time flying thoroughly disappointed uncomfortable seat well,0.095,0.721,0.184,-0.5678,0.1,0.20844086837710646,negative
180,legroom horrible worst ever international hour flight fly air france,0.0,0.513,0.487,-0.8225,0.3,0.0795506300288447,negative
181,tried seat first time flying cdg atl big mistake say worst seat ever recline seat rock hard service food regular economy,0.0,0.695,0.305,-0.7845,0.3,0.09878042609179699,negative
182,uncomfortable seat sat horrified paid close extra way uncomfortable challenge air france executive design engineer travel hour seat literally equivalent torture,0.043,0.535,0.421,-0.9062,1.0,0.037194473963868234,negative
184,hard shell seat uncomfortable limited recline addition premium economy cabin poor condition obvious wear tear compromised seat function leg rest across seating meant seat narrow virtually width economy class cabin addition two separate long haul flight two toilet working,0.0,0.795,0.205,-0.7906,0.3,0.09569353777642835,negative
186,flew air france san francisco paris premium economy seat flight worst seat ever experienced recline seat drop inch push recline button seat hard rock comfortable park bench add insult injury entertainment screen work,0.133,0.568,0.299,-0.765,0.3,0.10864834775568039,negative
188,adequate width hardly recline seat bsase move forward slightly back rest move provide minimum comfortable amount lower part seat double rest upper leg activated button seat base seat front foot rest however seat close together seat reclined position leg rest raised impossible even rest foot rest close short stature unable comfortably reason found necessary either foot supported led fatigue upper leg upper leg supported meaning foot dangling sleep possible light passenger seat screen intrusive impedes sleep everything close together giving sense privacy seat row close anyone sitting away aisle exit passenger aisle seat move inconvenient unlike reviewer suffer back pain serious discomfort feel rested seat originally assigned broken lower left rest disengaged rose immediately sat latching mechanism defective problem could sorted departure however able move next seat row case suspect would allowed use seat landing since could upright position raised footrest would impeded exit passenger sitting middle seat posing safety hazard seat appeared superior economy seat far width concerned however consider extra cost justified price differential compared offer far higher economy business,0.117,0.734,0.149,-0.6808,0.2,0.15125752745306414,negative
190,seat seat plus beside available legroom know plus stand seat hard hard actually narrow get coach class,0.0,0.843,0.157,-0.2023,0.3,0.3934011436668185,negative
191,hour flight paris mauritius seat rock hard little leg room move ife system bad broken stewardess fix screen basically spend hour able sleep entertain,0.076,0.66,0.264,-0.6908,0.1,0.1461970548049188,negative
192,seat hard narrow short cut circulation crammed centre position knee hit seat front person next little larger spread across shoulder monopoly tiny hard little arm rest person front threw back seat complained mealtime told asleep would please leave arrival hour trip night sleep agony confinement foot ankle swollen felt absolutely battered unfortunately flown paris week exactly return journey knew could expect,0.033,0.762,0.205,-0.8393,0.1,0.07104903597996051,negative
195,good looking seat disappointing seated comfort horrible hard recline minimal hour flight torture,0.221,0.287,0.492,-0.765,0.1,0.10864834775568039,negative
196,tall large frame seat designed tiny petite people leg room narrow hard air france charge much upgrade premium economy seat seat behind bulkhead galley travel aircraft,0.0,0.947,0.053,-0.1027,0.2,0.44380345124234605,negative
198,middle seat disgraceful flag carrier almost bad emirate difference footrest never,0.0,0.757,0.243,-0.4951,0.1,0.24523050452912304,negative
200,flight paris hong kong seat hard narrow uncomfortable even short flight hour torture,0.0,0.559,0.441,-0.7845,0.5,0.09878042609179699,negative
202,air france premium economy downside bit expensive upgrade toilet seem object u using first class toilet put seat sat air france economy horrible economy seat padding,0.0,0.807,0.193,-0.6705,0.5,0.15646981428065382,negative
203,traveled lower level economy cabin last row cabin seat barely reclined complained hostess overnight transatlantic flight informed seat economy cabin pitch needle say spent uncomfortable night,0.0,0.761,0.239,-0.7369,0.4,0.12286827589696879,negative
204,flew economy hk paris never small person ft tall kg torture never got comfortable hour minute flying narrow seat poor recline empty seat next could advantage armrest fixed tv quite blurry,0.05,0.622,0.328,-0.8805,0.1,0.050199888669601775,negative
205,paid lot travel voyageur class air france version premium economy believe video website believe hype seat narrow designed badly chance restful flight slide knee bang seat front get plastic cutlery cup food economy pay class fare little difference economy class service existent make ashamed hold french passport never,0.082,0.78,0.138,-0.4767,0.1,0.2545417742017104,negative
207,premium voyageur cabin air france achieved remarkable feat making providing seat uncomfortable wife medium build heavier build hard recline limited work fixed head rest low support head anyone height problem compounded failure carry extension belt fit short seat belt fitted second third three row able use belt connecting flight without difficulty therefore transferred front row bulkhead diminishes value extra leg room seat upright tried use limited recline extension came pinned foot bulkhead short cabin priced offering le preferred seat air canada economy cabin,0.132,0.709,0.159,-0.169,0.1,0.4102525175851425,negative
211,seated seat jammed behind row seat minimum leg room large gentleman angle leg aisle third upper body area worst flight life,0.0,0.83,0.17,-0.6249,0.1,0.17954556955619655,negative
212,uncomfortable flight travel air france seat front inclined impossible get seat choose air france,0.0,0.833,0.167,-0.3818,0.5,0.30256565963260973,negative
213,small person pound seat smallest airline seat ever seen eleven half hour misery,0.0,0.764,0.236,-0.5719,0.1,0.20636607459136685,negative
214,aisle seat emergency exit legroom problem seat narrowest ever sat perhaps slightly narrower economy seat incorporate tray table armrest hardest seat ever experienced airline expect anyone hard seat twelve hour beyond given cramped seating harness seat never choose air france travel,0.0,0.85,0.15,-0.6908,0.1,0.1461970548049188,negative
216,cdg li little legroom ft tall worst experience compared european airline,0.0,0.709,0.291,-0.6249,0.3,0.17954556955619655,negative
217,stunned find seat miserably uncomfortable flight seat extremely narrow short hard little leg room became impossible get comfortable way able relieve pressure leg sleep flight absolutely zero room anyone get seat go restroom without entire row get well let never fly air france level discomfort,0.137,0.624,0.239,-0.5945,0.1,0.19492940640655837,negative
221,hour hong kong paris awful seat recline far front toilet seat width worst ever pitch especially reclining normal seating configuration explains cramped even someone short,0.0,0.764,0.236,-0.7964,0.1,0.09275846364050404,negative
222,bos cdg flight worst transatlantic flight ever taken cramped seat small obese could barely fit person next pressed arm rest pinced thigh enough make jump twice seat cramped could hardly move around relieve pressure leg never particular flight,0.099,0.76,0.141,-0.4323,0.1,0.27701027275947576,negative
223,quite surprised bad seating aboard air france consider average build height fairly fit yet squeezing seat incredibly difficult approximately inch space knee seat front far le majority short haul flight make extricating seat get bathroom involved disturbing two people sat next forced get seat pile galley area wanted leave problem faced first attempt get seat gave remained stationary remainder flight dread think unpleasant flight would foot weighed average since recommended friend colleague avoid air france cost,0.11,0.634,0.256,-0.9358,0.2,0.022215474925358053,negative
224,cdg tokyo worst flight life seat hard enough feel like sitting plastic chair back painful hr flight chose flight first time fly flight departing tokyo late evening never fly layout aircraft,0.066,0.712,0.222,-0.7096,0.1,0.13668336622640556,negative
227,cdg tokyo narrowest seat ever experienced took flight cheap turned mistake never ever fly cramped plane horrible,0.0,0.718,0.282,-0.7096,0.1,0.13668336622640556,negative
229,seat felt cramped worst ever experienced genius decided put new thickly padded sculpted seat push closer seat front recline ever seen economy kept seat pitch seat front reclined video screen front impossible reach floor stand matter ridiculously tight unless,0.05,0.801,0.149,-0.743,0.1,0.11978138758160013,negative
231,flew royal brunei airline melbourne bangkok october flight attendant took time waltzing airport delayed went wrong gate gate right next good legroom uncomfortable seat horrible food flight attendant almost existent flight transit horrible brunei look staff give westerner chilling intimidating way bkk horrible seat broken cannot buy alcohol another country bring back even sealed fly buy duty free horrible airline worth paying little better serviced airline,0.117,0.569,0.314,-0.9516,0.1,0.014219928141288404,negative
233,flew london melbourne return september october first time new boeing seat layout mass legroom attentive cabin crew return flight mostly empty flight attendant made couple empty row bed little one,0.0,0.886,0.114,-0.3818,1.0,0.30256565963260973,negative
236,person seat front seat reclined entire night dubai brunei consequently choice repositioning leg tv screen back uncomfortably claustrophobic moving standing position squeeze go toilet awkward say least,0.0,0.853,0.147,-0.5106,0.3,0.23738677192449772,negative
237,seat broken tv screen work lady front reclined seat jamming seat put meal tray awful hr red eye flight brisbane auckland beware cheap flight deal,0.0,0.79,0.21,-0.7269,0.1,0.12792874854511413,negative
243,booked window seat klm flight seat boeing little know boeing seat window wall klm selling window seat know well aircodintioning reason never window seat scam tall shoulder circumference cm need window space put shoulder impossible steal cm middle passenger passenger unhappy asking refund klm refuse klm trusted anymore stay away waiting ticket refund another flight cancelled already day,0.118,0.735,0.147,-0.2505,0.1,0.369009665502758,negative
244,boeing absolutely worse seating airplane priority clearly passenger comfort tiny seat leg room avoid booking klm cost,0.219,0.546,0.235,-0.101,0.1,0.44466373159253075,negative
246,flight amsterdam schiphol prague seat embraer comfortable boeing seat width small recline limited passenger cannot easily relax,0.146,0.574,0.28,-0.2598,0.6,0.3643034259399828,negative
249,reviewer remarked horrible seat cushion small seat leg room acceptable average length person le leg room year ago fair price ticket lowest direct amsterdam tokyo flight expect much however would gladly pay little bit seat worn bone bottom ached hour flight still sore day later hey flying fun sustainable planet help cutting bad behaviour overall positive rating given ticket price,0.202,0.56,0.238,-0.235,0.7,0.3768533981073833,negative
250,absolutely terrible seat boeing clearly quality seat important benchmark mid long haul passenger comparing airline fine narrow seat seat hard bottom pain half hour even extra cushion found circulation getting cut foot disappointing experience probably worst seat flight year worse low cost carrier budget airline asia paid extra exit row half price gold flyer great leg room least people complained reduced exit false least aircraft flew could stretch way,0.113,0.61,0.277,-0.9324,0.2,0.023936035625727447,negative
252,cushioning little actual cushioning couple hour rear felt like sitting floor forever matter positioned could still feel pain comment pitch leg space seat cushion absolutely horrible,0.11,0.673,0.217,-0.6697,0.2,0.15687465209250548,negative
253,smallest seat ever flown airline domestic u international seriously passenger front recline seat unable get klm flight pitch dealbreaker future apparently built configuration seat power,0.0,0.931,0.069,-0.1779,0.6,0.40574869692829313,negative
266,still sitting gate getting ready already hate plane flew u amsterdam stuck sardine boeing flight home squeezed seat row appreciate klm comfort changed mind preparing worst try another airline next trip seat width small leg room none feel like southwest airline neighbor already taken arm rest,0.134,0.66,0.207,-0.6381,0.2,0.17286574566064472,negative
267,amsterdam schiphol london heathrow january seat towards front economy cabin window legroom standard amount ok hour flight anything longer would feel cramped anyone ft would feel uncomfortable seat,0.071,0.844,0.084,-0.1027,0.8,0.44380345124234605,negative
273,old boeing terrible seat space paid preferred economy seat get either extra leg space seat row promised klm site get short guy never uncomfortable regarding leg space flight got window seat trying get hard avoid klm cost,0.108,0.738,0.154,-0.2537,0.2,0.36739031425535146,negative
275,boeing seat awful seat old wide ife unresponsive old legroom good either ventilation quite bad felt claustrophobic really recommend avoiding flying plane toilet uncomfortable plane,0.155,0.517,0.328,-0.749,0.4,0.11674510399271293,negative
278,always liked klm staff nice economy seat fine seems situation every thing downgraded economy flier around longhaul flight every year business reason year seen utter contempt airline shown economy traveller always tried fly klm followed pack dislike passion look every boeing aircraft smaller legroom bearable tall seat width absolutely torture especially wide arm touching neighbor straight thus little sideways wiggle used accommodate leg option even passenger passing narrow aisle attempting avoid brushing resting passenger staff enough said klm used avoid air france somehow pull better klm avoid klm airline boeing tried complain online got sort word reply address anything said voucher odd euro welcome beside point requested politely point board staff must shimmy sideways pas resting client,0.128,0.717,0.155,-0.5849,0.1,0.1997874601487779,negative
279,new slimline seat economy plus economy torturous reading review need say feeling platinum klm year quick race bottom klm avoid anything klm cost possible bottom leg numb whole flight padding boot curt unfriendly service help talking crew happy fast change klm,0.15,0.645,0.205,-0.4404,0.1,0.272911289914478,negative
281,slimline seat designed child full sized adult uncomfortable flight ever bad one looking inflight magazine shoved number seat odd far aware shorter narrower fuselage seat count magazine constantly touching next wasnt fat neither dreadful klm ought ashamed,0.028,0.676,0.295,-0.905,0.1,0.03780173068164566,negative
284,booked klm group family member aal am bkk general delay hour start kept whole flight klm managed delay part luggage day showed meaning stay additional day bangkok waiting arrive still waiting answer request compensation anyway regard seating feeling like cattle way slaughter never life limited space return trip changed upgraded premium economy joke seat could recline cm still terrible tv went reset several time attendant food according menu flight meat ball supposed chicken way around vegetarian breakfast long flight worst airline experience ever,0.083,0.792,0.125,-0.7126,0.1,0.13516522443196194,negative
287,worst experience ever new ergonomically designed seat flight sao paulo amsterdam last week sitting window seat felt pressed wall passenger next normally built obviously needed space whatever position sat resulted contact passenger next never problem old comfortable seat plenty space normally built passenger attempted sleep standing couple hour restroom allowed flight attendant told seat width earlier klm aircraft seems incorrect reading review site many others complaining narrow seat width,0.03,0.857,0.113,-0.7464,0.1,0.11806082688123073,negative
292,horrible experience first last time ever fly klm husband tall always book premium economy case klm named economy comfort nothing comfort flight amsterdam hong kong husband actually fit super narrow seat embarrassing travel frequently never happened luckily purser upgraded business promised send email warning return journey week time checked flight home hk record issue fact directed ticket counter get help woman incredibly rude telling u fault checking seat width online guess assuming international carrier offer economy comfort would like every international carrier flown wrong thing said seat width airline factually incorrect reading review site noticed many others complained super narrow seat width gate told husband may able fly home forced pay euro get seat business class certainly afford pay price else going get home smaller item would complain however written enough already horrible horrible airline sad way would fantastic trip amsterdam husband th birthday,0.166,0.615,0.219,-0.8465,0.1,0.06740549567329587,negative
293,plane new interior horrible extremely cramped layout narrow seat little legroom example probably due super thin seat ailes small cannot walk straight without bumping people walk somewhat sideways hour gf back ache healthy year old back still hurt like hell hour flight always saw klm premium airline well anymore,0.167,0.597,0.235,-0.6774,0.3,0.15297808815343353,negative
296,klm sell intra europe business class product essence standard economy seat inch wide perhaps extra two three inch pitch legroom middle seat blocked business seat located front cabin klm approach similar british airway sell intra europe flight fare klm business class much higher standard economy forward business class area nearly empty available seat filled provided plenty room carry bag found seat odd irritating built recline back hurt minute flight am arn empty middle seat nice really worth cost minute flight given price differential inclined stick sa plus trying get aisle seat,0.049,0.811,0.141,-0.813,0.4,0.0843580790445828,negative
